"LNP_ID","Experiment_ID","IL_name","IL_head_name","IL_SMILES","Experiment_value"
"LNP_0003871","SS_2018","Moderna_lipid1","Moderna_A1","N(CCO)(CCCCCCCCC=CCC=CCCCCC)CCCCCCCCC=CCC=CCCCCC",-0.65566576
"LNP_0003872","SS_2018","Moderna_lipid2","Moderna_A1","N(CCO)(CCCCCCCC(=O)OCCCCCCCCC)CCCCCCCC(=O)OCCCCCCCCC",-1.019385933
"LNP_0003873","SS_2018","Moderna_lipid3","Moderna_A1","N(CCO)(CCCCCCCC/C=C\C/C=C\CCCCC)CCCCCCCC(=O)OCCCCCCCCC",-1.002511011
"LNP_0003874","SS_2018","Moderna_lipid4","Moderna_A1","N(CCO)(CCCCCCCCC=CCC=CCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC",-0.032864263
"LNP_0003875","SS_2018","Moderna_lipid5","Moderna_A1","N(CCO)(CCCCCCCC(=O)OCCCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC",1.656343159
"LNP_0003876","SS_2018","Moderna_lipid6","Moderna_A1","N(CCO)(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC",-0.442923724
"LNP_0003878","SS_2018","SM-102","Moderna_A1","N(CCO)(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCC(=O)OCCCCCCCCCCC",0.668882097
"LNP_0003879","SS_2018","Moderna_lipid9","Moderna_A1","N(CCO)(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCC(=O)OCCCCCCCCC",1.458656312
"LNP_0003880","SS_2018","Moderna_lipid10","Moderna_A1","N(CCO)(CCCCCC(=O)OCCCCCCCCCCC)CCCCCC(=O)OC(CCCCCCCCCC)CCCCCCCCCC",0.32165142
"LNP_0005100","SP_2020","DLin-MC3-DMA","","CCCCC/C=C\C/C=C\CCCCCCCCC(OC(=O)CCCN(C)C)CCCCCCCC/C=C\C/C=C\CCCCC",0.494846444
