"LNP_ID","Experiment_ID","IL_name","IL_head_name","IL_SMILES","Experiment_value"
"LNP_0003881","LM_2019","A12Iso52DC18","A12","CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OCC)N1CCCN(C)C",4.472089488
"LNP_0003882","LM_2019","A2Iso52DC18","A2","CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OCC)N1CCCN1CCCC1",4.463215259
"LNP_0003883","LM_2019","A3Iso52DC18","A3","CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OCC)N(CC)CCCNCC",3.878274157
"LNP_0003884","LM_2019","A5Iso52DC18","A5","CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OCC)N1CCN(C)C",2.565824307
"LNP_0003885","LM_2019","A1Iso52DC18","A1","CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OCC)N1CCN(CC)CC",3.15785114
"LNP_0003886","LM_2019","A4Iso52DC18","A4","CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OCC)N(C)CCN(C)C",3.188261707
"LNP_0003887","LM_2019","A6Iso52DC18","A6","CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OCC)N(C)CCCN(C)C",-0.444794102
"LNP_0003888","LM_2019","A8Iso52DC18","A8","CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OCC)N1CCN(C)CC1",0.384572443
"LNP_0003889","LM_2019","A7Iso52DC18","A7","CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OCC)N(CC)CCN(C)C",0.999820445
"LNP_0003890","LM_2019","A11Iso52DC18","A11","CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OCC)N(CC)CCO",0.738483578
"LNP_0003891","LM_2019","A9Iso52DC18","A9","CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OCC)N(C)CCN(CC)CC",0.479232867
"LNP_0003892","LM_2019","A10Iso52DC18","A10","CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OCC)N(C)CCO",0.191489397
"LNP_0003893","LM_2019","A3Iso62DC18","A3","CCCCCCCC/C=C\CCCCCCCC(CCCCCCC/C=C\CCCCCCCC)(C(=O)NCC(=O)OC(C)(C)C)N(CC)CCCNCC",3.711520803
"LNP_0003894","LM_2019","A2Iso62DC18","A2","CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCCN1CCCC1",3.635545379
"LNP_0003895","LM_2019","A12Iso62DC18","A12","CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCCN(C)C",3.546299668
"LNP_0003896","LM_2019","A5Iso62DC18","A5","CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN(C)C",1.726660714
"LNP_0003897","LM_2019","A1Iso62DC18","A1","CCCCCCCC/C=C\CCCCCCCC1(CCCCCCC/C=C\CCCCCCCC)C=NC(C(=O)OC(C)(C)C)N1CCN(CC)CC",3.844042837
