"IL_SMILES","Experiment_value","IL_to_nucleicacid_massratio","IL_molratio","HL_molratio","CHL_molratio","PEG_molratio","Dose_ug_nucleicacid","HL_name","CHL_name","PEG_name","Aqueous_buffer","Dialysis_buffer","Mixing_method","Model_type","Model_target","Route_of_administration","Cargo","Cargo_type","Experiment_batching","LNP_ID","Experiment_ID","IL_name","IL_head_name"
"CCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCC)CCN(C)C",-2.188190426,11.40770346,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009021","ZC_2023","2A1-SCC-4","2A1"
"CCCCCCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCC)CCN(C)C",-0.16208818,12.48048245,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009022","ZC_2023","2A1-SCC-8","2A1"
"CCCCCCCCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCCCC)CCN(C)C",-1.175139303,12.98723996,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009023","ZC_2023","2A1-SCC-10","2A1"
"CCCCCCCCCCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCCCCCC)CCN(C)C",-0.16208818,13.47567157,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009024","ZC_2023","2A1-SCC-12","2A1"
"CCCCCCCCCCCCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCCCCCCCC)CCN(C)C",-0.16208818,13.94675372,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009025","ZC_2023","2A1-SCC-14","2A1"
"CCCCC(CC)CSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCC(CC)CCCC)CCN(C)C",-0.16208818,12.48048245,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009026","ZC_2023","2A1-SCC-EH","2A1"
"CCCCCC(CCC)CSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCC(CCC)CCCCC)CCN(C)C",-0.16208818,12.98723996,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009027","ZC_2023","2A1-SCC-PH","2A1"
"CCCCCCC(CCCC)CSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCC(CCCC)CCCCCC)CCN(C)C",-0.16208818,13.47567157,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009028","ZC_2023","2A1-SCC-BO","2A1"
"CCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCC)CCN1CCCCC1",-1.175139303,11.8001787,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009029","ZC_2023","2A2-SCC-4","2A2"
"CCCCCCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCC)CCN1CCCCC1",-2.188190426,12.84424631,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009030","ZC_2023","2A2-SCC-8","2A2"
"CCCCCCCCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCCCC)CCN1CCCCC1",0.850962943,13.33781545,23.80952381,23.80952381,47.61904762,4.761904762,0.025,"DOPE","Cholesterol","DMG-PEG2000","citrate","None","handmixed","IGROV1","in_vitro","in_vitro","mRNA","FLuc","individual","LNP_0009031","ZC_2023","2A2-SCC-10","2A2"
