"LNP_ID","Experiment_ID","IL_name","IL_head_name","IL_SMILES","Experiment_value"
"LNP_0009021","ZC_2023","2A1-SCC-4","2A1","CCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCC)CCN(C)C",-2.188190426
"LNP_0009022","ZC_2023","2A1-SCC-8","2A1","CCCCCCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCC)CCN(C)C",-0.16208818
"LNP_0009023","ZC_2023","2A1-SCC-10","2A1","CCCCCCCCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCCCC)CCN(C)C",-1.175139303
"LNP_0009024","ZC_2023","2A1-SCC-12","2A1","CCCCCCCCCCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCCCCCC)CCN(C)C",-0.16208818
"LNP_0009025","ZC_2023","2A1-SCC-14","2A1","CCCCCCCCCCCCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCCCCCCCC)CCN(C)C",-0.16208818
"LNP_0009026","ZC_2023","2A1-SCC-EH","2A1","CCCCC(CC)CSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCC(CC)CCCC)CCN(C)C",-0.16208818
"LNP_0009027","ZC_2023","2A1-SCC-PH","2A1","CCCCCC(CCC)CSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCC(CCC)CCCCC)CCN(C)C",-0.16208818
"LNP_0009028","ZC_2023","2A1-SCC-BO","2A1","CCCCCCC(CCCC)CSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCC(CCCC)CCCCCC)CCN(C)C",-0.16208818
"LNP_0009029","ZC_2023","2A2-SCC-4","2A2","CCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCC)CCN1CCCCC1",-1.175139303
"LNP_0009030","ZC_2023","2A2-SCC-8","2A2","CCCCCCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCC)CCN1CCCCC1",-2.188190426
"LNP_0009031","ZC_2023","2A2-SCC-10","2A2","CCCCCCCCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCCCC)CCN1CCCCC1",0.850962943
"LNP_0009032","ZC_2023","2A2-SCC-12","2A2","CCCCCCCCCCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCCCCCC)CCN1CCCCC1",0.850962943
"LNP_0009033","ZC_2023","2A2-SCC-14","2A2","CCCCCCCCCCCCCCSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCCCCCCCCCCCCCC)CCN1CCCCC1",-0.16208818
"LNP_0009034","ZC_2023","2A2-SCC-EH","2A2","CCCCC(CC)CSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCC(CC)CCCC)CCN1CCCCC1",-0.16208818
"LNP_0009035","ZC_2023","2A2-SCC-PH","2A2","CCCCCC(CCC)CSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCC(CCC)CCCCC)CCN1CCCCC1",-0.16208818
"LNP_0009036","ZC_2023","2A2-SCC-BO","2A2","CCCCCCC(CCCC)CSCC(C)C(=O)OCCSSCCOC(=O)CCN(CCC(=O)OCCSSCCOC(=O)C(C)CSCC(CCCC)CCCCCC)CCN1CCCCC1",-0.16208818
